Tree,Relation_Handling,N_Folds,Model,Threshold,R2,MAE,MAPE,MSE,RMSE
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,rf,17,0.8100009129193227,16.308087254782254,0.03633178428627545,677.4771609982621,24.284236891081285
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,HubR,17,0.8009564463120394,16.35190368648639,0.03488691610580054,707.0587252807766,24.433704464319977
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Adaboost,17,0.7993367184606209,17.957468782288167,0.040319730148705164,721.3649842257141,24.387016648183923
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,et,17,0.6755844326858663,20.088245106005104,0.043773994179818275,1105.2129252037253,30.998204919816047
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,dt,17,0.5933103922829894,21.18615773115773,0.04603577743848897,1393.7162988122986,34.24782907945505
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,lr,17,-6.765995074486764e+17,26515572183.948616,58085062.45209212,2.3525943476897272e+21,36974020548.1145
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,BayesianRidge,19,0.8691179308407427,13.554846166382674,0.02981909423250568,426.134995218646,19.700281902554597
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,xgb,19,0.8585105884537757,14.26015090564682,0.031339075223629706,496.2131071663009,20.62858998163154
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,gbr,19,0.8310366051022855,14.289599782640373,0.03144549548664296,523.5823543696148,21.211371728032734
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,rf,19,0.809058156882602,15.486695998212308,0.03449976783222546,616.3921411762061,23.07903353745998
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,lgbm,19,0.8085289992686842,15.630394315360572,0.03448081923353339,608.3932759050632,23.298670376563155
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Lasso,19,0.8033066748676699,17.148611321797905,0.03822272031567459,639.2873834201762,23.43946230639983
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,LassoLars,19,0.8032926879088452,17.14850974602869,0.03822253512979283,639.3075629176793,23.440445543889396
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Adaboost,19,0.7955942174721139,17.485238522800707,0.038920118005070135,687.2306726820979,23.95393494736762
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,HubR,19,0.7837494042724473,16.136479420042015,0.034476003965966416,695.4621586854813,23.957428524189517
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,et,19,0.6910355876035976,17.3861801530341,0.037190910157662106,908.9047800856861,27.66186502057853
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,dt,19,0.6185131239969801,18.930471589813695,0.04094794141606809,1114.052660885898,30.25050491553923
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,lr,19,-3.3763539193631814e+17,11645554812.652538,25806391.356897138,7.13391345282725e+20,17001704406.287132
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,xgb,21,0.8771772926085222,13.81288352600062,0.030174490865068838,453.2716911072202,19.978658835130737
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,BayesianRidge,21,0.8695211465825982,14.19031909256542,0.031303379043325155,463.9406695246798,20.317200060468853
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,gbr,21,0.8369732828114859,14.63907735864798,0.032258232726610075,577.3523546644357,21.883031049697365
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Lasso,21,0.8291875801519386,16.889654952983914,0.03741219139771389,617.7620471445275,22.687818857896943
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,LassoLars,21,0.8291849334880586,16.889852121488442,0.03741275086535583,617.777738035631,22.68838825601758
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,lgbm,21,0.8252441130772187,16.190641435975735,0.03570063605734959,615.1327220776931,23.518848060232173
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Adaboost,21,0.8141345109784475,18.125323974412026,0.04016678920877418,680.0124102375006,23.920976248749646
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,rf,21,0.8066326284664579,16.440571328398693,0.03665915627524445,698.9144786476459,24.533961240742652
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,HubR,21,0.7845189568549615,16.892725755257494,0.036095484685859346,741.7605879412737,24.821619679028903
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,et,21,0.7124301806617839,17.863871634700576,0.03845224847536842,1006.0030380072939,28.662245472495805
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,dt,21,0.6641968083959132,19.258542101173685,0.04116718756667303,1148.933149530781,30.492603824410036
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,lr,21,-5062400221165806.0,1111596417.9868653,2241741.0303822975,1.7581491912492659e+19,1658648887.211208
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,BayesianRidge,23,0.8649204513021319,15.31113381510611,0.03377487893733034,510.36757135631575,20.775642274514873
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,xgb,23,0.8499984438940466,15.463606712631217,0.034380716509736634,570.1631764517083,22.169370982915645
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,gbr,23,0.8396102459431012,15.73849330727189,0.03426883841324661,612.9033532430819,21.894901669432386
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Lasso,23,0.8350673448249911,17.489919064727243,0.03868463115165146,620.922885306641,22.473194964025257
