Family,Genus,Species,LambdaMax
Psychrolutidae,Dasycottus,setiger,485
Psychrolutidae,Gilbertidia,sigalutes,496
Psychrolutidae,Psychrolutes,paradoxus,483
Rhamphocottidae,Rhamphocottus,richardsonii,493
Scorpaenidae,Dendrochirus,zebra,501
Scorpaenidae,Scorpaena,porcus,506
Sebastidae,Sebastes,auriculatus,498
Sebastidae,Sebastes,caurinus,496
Sebastidae,Sebastes,empaeus,493
Sebastidae,Sebastes,flavidus,497
Sebastidae,Trachyscorpia,cristulata,485
Triglidae,Chelidonichthys,lucerna,502
Triglidae,Eutrigla,gurnardus,502
Gonostomatidae,Gonostoma,atlanticum,484
Ictaluridae,Ameiurus,melas,541
Ictaluridae,Ictalurus,punctatus,542
Aulostomidae,Aulostomus,chinensis,494
Gonostomatidae,Gonostoma,denudatum,482
Gonostomatidae,Sigmops,bathyphilus,481
Gonostomatidae,Sigmops,elongatus,484
Phosichthyidae,Ichthyococcus,ovatus,487
Sternoptychidae,Argyropelecus,aculeatus,475
Sternoptychidae,Argyropelecus,gigas,477
Sternoptychidae,Polyipnus,polli,483
Sternoptychidae,Sternoptyx,diaphana,478
Sternoptychidae,Sternoptyx,pseudobscura,479
Sternoptychidae,Valenciennellus,tripunctulatus,480
Stomiidae,Bathophilus,brevis,483
Stomiidae,Borostomias,elucens,482
Stomiidae,Chauliodus,danae,484
Stomiidae,Echiostoma,barbatum,483
Stomiidae,Eustomias,obscurus,485
Stomiidae,Idiacanthus,fasciola,483
Stomiidae,Malacosteus,niger,522
Stomiidae,Melanostomias,niger,483
Stomiidae,Neonesthes,capensis,483
Stomiidae,Pachystomias,microdon,522
Stomiidae,Photonectes,braueri,483
Stomiidae,Rhadinesthes,decimus,480
Stylephoridae,Stylephorus,chordatus,470
Balistidae,Canthidermis,maculata,486
Syngnathidae,Hippocampus,angustus,500
Syngnathidae,Hippocampus,barbouri,499
Syngnathidae,Nerophis,ophidion,500
Syngnathidae,Stigmatopora,argus,502
Syngnathidae,Syngnathus,leptorhynchus,499
Balistidae,Sufflamen,bursa,487
Monacanthidae,Pergavor,aspricaudus,492
Monacanthidae,Pergavor,spilosoma,494
Ostraciidae,Ostracion,meleagris,495
Tetraodontidae,Arothron,meleagris,493
Anoplogastridae,Anoplogaster,cornuta,482
Trachichthyidae,Hoplostethus,atlanticus,482
Trachichthyidae,Hoplostethus,mediterraneus mediterraneus,483
Parazenidae,Cyttopsis,roseus,478
